bigram,base_freq,rec_freq,abs_excess,ratio,base_n,rec_n
desi s,5.974072525240457e-05,0.0007786835381433264,0.0007189428128909219,13.03418230480354,4,32
act dr,0.0001493518131310114,0.0018980411242243583,0.001748689311093347,12.708445756287208,10,78
jwst niriss,7.46759065655057e-05,0.0009490205621121791,0.0008743446555466735,12.708367362267593,5,39
posterior estimation,8.961108787860685e-05,0.0011193575860810317,0.0010297464982024248,12.491156188631296,6,46
qpes are,7.46759065655057e-05,0.0009246867015452002,0.0008500107949796945,12.38251213223562,5,38
and desi,0.00028376844494892167,0.00347974206107799,0.0031959736161290683,12.262571333937455,19,143
methods often,5.974072525240457e-05,0.0007300158170093686,0.000670275091756964,12.219546956923308,4,30
findings provide,0.00028376844494892167,0.0034310743399440322,0.0031473058949951106,12.091066889043052,19,141
jwst miri,0.0003285739888882251,0.003917751551283611,0.003589177562395386,11.92346552164491,22,161
fourth observing,8.961108787860685e-05,0.0010463560043800948,0.000956744916501488,11.67651629540809,6,43
degree pd,0.00010454626919170799,0.0012166930283489476,0.0011121467591572395,11.637740877936272,7,50
eruptions qpes,0.00011948145050480913,0.0013626961917508212,0.0012432147412460121,11.404998692221943,8,56
shaping galaxy,5.974072525240457e-05,0.0006813480958754106,0.0006216073706230061,11.404911609043074,4,28
jwst to,0.0001493518131310114,0.0016547025185545687,0.0015053507054235574,11.079158697218999,10,68
across six,5.974072525240457e-05,0.0006570142353084316,0.0005972735100560271,10.997593935102957,4,27
hst jwst,5.974072525240457e-05,0.0006570142353084316,0.0005972735100560271,10.997593935102957,4,27
temperate sub,5.974072525240457e-05,0.0006570142353084316,0.0005972735100560271,10.997593935102957,4,27
the ixpe,5.974072525240457e-05,0.0006570142353084316,0.0005972735100560271,10.997593935102957,4,27
the csst,0.00010454626919170799,0.0011193575860810317,0.0010148113168893236,10.706722372905478,7,46
symbolic regression,8.961108787860685e-05,0.0009490205621121791,0.0008594094742335723,10.590329771110484,6,39
accurately modeling,8.961108787860685e-05,0.0009490205621121791,0.0008594094742335723,10.590329771110484,6,39
survey erass,8.961108787860685e-05,0.0009490205621121791,0.0008594094742335723,10.590329771110484,6,39
score based,5.974072525240457e-05,0.0006326803747414528,0.0005729396494890482,10.590276261162842,4,26
contrasting with,5.974072525240457e-05,0.0006326803747414528,0.0005729396494890482,10.590276261162842,4,26
miri observations,5.974072525240457e-05,0.0006326803747414528,0.0005729396494890482,10.590276261162842,4,26
a differentiable,5.974072525240457e-05,0.0006326803747414528,0.0005729396494890482,10.590276261162842,4,26
the hellings,5.974072525240457e-05,0.0006326803747414528,0.0005729396494890482,10.590276261162842,4,26
enhancing our,0.00010454626919170799,0.0010950237255140528,0.0009904774563223447,10.473967746647782,7,45
and offering,7.46759065655057e-05,0.0007786835381433264,0.0007040076315778207,10.427380752043787,5,32
the intricate,0.00019415735707031484,0.002019710427059253,0.0018255530699889382,10.402392446737744,13,83
by lhaaso,0.00013441663181791027,0.0013870300523178003,0.00125261342049989,10.318817803580643,9,57
study examines,0.0001493518131310114,0.001533033215719674,0.0013836814025886626,10.264515167684893,10,63
highlighting its,0.00010454626919170799,0.001070689864947074,0.000966143595755366,10.241213120390084,7,44
with desi,0.0001792221757572137,0.0018250395425234212,0.0016458173667662076,10.183061062346809,12,75
desi the,5.974072525240457e-05,0.0006083465141744738,0.0005486057889220692,10.182958587222725,4,25
investigates how,5.974072525240457e-05,0.0006083465141744738,0.0005486057889220692,10.182958587222725,4,25
ultraviolet near,5.974072525240457e-05,0.0006083465141744738,0.0005486057889220692,10.182958587222725,4,25
based inference,0.00037337953282752854,0.0037717483878817373,0.0033983688550542086,10.10162302602953,25,155
the miri,0.0002240277196965171,0.0022630490327290426,0.0020390213130325255,10.101606775214837,15,93
union and,7.46759065655057e-05,0.0007543496775763475,0.0006796737710108419,10.101525522011816,5,31
station telescope,0.00019415735707031484,0.001946708845358316,0.0017525514882880012,10.026402544461742,13,80
by jwst,0.00047792580201923653,0.004769436671127875,0.0042915108691086385,9.979431266413691,32,196
for advancing,0.00020909253838341597,0.002068378148193211,0.001859285609809795,9.892123707813546,14,85
the jwst,0.0010753330545432821,0.010512227764934906,0.009436894710391623,9.775779647748326,72,432
kagra collaboration,0.0001792221757572137,0.0017520379608224844,0.0015728157850652708,9.775738843038358,12,72
on jwst,0.00011948145050480913,0.0011680253072149896,0.0010485438567101805,9.775714360394515,8,48
toi system,7.46759065655057e-05,0.0007300158170093686,0.0006553399104438629,9.775670291979843,5,30
of jwst,0.0006123424338371467,0.005864460396641927,0.00525211796280478,9.577078927577078,41,241
jwst surveys,7.46759065655057e-05,0.0007056819564423896,0.0006310060498768839,9.44981506194787,5,29
the desi,0.000851305334846765,0.008005840126536075,0.00715453479168931,9.404183663189967,57,329
periodic eruptions,0.00016428699444411254,0.001533033215719674,0.0013687462212755614,9.33138310505812,11,63
the xrism,0.00010454626919170799,0.000973354422679158,0.0008688081534874501,9.310194615359292,7,40
notably we,0.00028376844494892167,0.0026280569412337265,0.002344288496284805,9.261243548285387,19,108
population level,0.00034350917020132627,0.0031390680131402845,0.0027955588429389583,9.138212738506468,23,129
offer valuable,0.0001493518131310114,0.0013626961917508212,0.0012133443786198099,9.124014226337145,10,56
leverages the,0.00019415735707031484,0.0017520379608224844,0.0015578806037521696,9.023762805059068,13,72
the nirspec,0.00020909253838341597,0.0018737072636573792,0.0016646147252739633,8.961100750141547,14,77
sdss v,0.0001493518131310114,0.0013383623311838423,0.001189010518052831,8.961085520430325,10,55
